Episode,Total Reward,Epsilon
0,-1500.8705343684962,0.2647468760858375
1,18955.955472609498,0.1000617633593481
2,-1518.5266726575412,0.10000586176089345
3,-1518.2404851183674,0.10000032837441152
4,-1503.8145304724903,0.10000001761358418
5,2909.7749208356386,0.10000000000000014
6,3554.6948053801634,0.1000000000000001
7,2850.161479709362,0.10000000000000007
8,3555.975010208514,0.10000000000000006
8,3249.4244976227537,0.10000000000000006
9,24953.91505783032,0.10000000000000006
10,10396.538643355787,0.10000000000000006
11,13423.390116550847,0.10000000000000005
12,8197.537350420855,0.10000000000000003
13,8736.19788487651,0.10000000000000002
14,19094.935569869365,0.10000000000000002
15,16057.954328132539,0.10000000000000002
16,12818.563812692411,0.10000000000000002
17,12243.610539703903,0.10000000000000002
18,17226.481823757902,0.10000000000000002
19,15020.46294132278,0.10000000000000002
20,11928.150222126045,0.10000000000000002
21,14265.577740726763,0.10000000000000002
22,12276.767484310367,0.10000000000000002
23,12633.730430325139,0.10000000000000002
24,14324.43379080577,0.10000000000000002
25,13472.771382418203,0.1
26,11979.737605943552,0.1
27,29903.27505196336,0.1
28,13771.665084647007,0.1
29,11471.473684110175,0.1
30,12899.601410990723,0.1
31,15497.178233107245,0.1
32,12326.455975164608,0.1
33,17790.554725803537,0.1
34,11779.904838388084,0.1
35,18572.7846651352,0.1
36,16459.620055382045,0.1
37,14489.178113810012,0.1
38,13712.235922459522,0.1
39,13027.170736278027,0.1
40,13945.720027044837,0.1
41,35309.12193492071,0.1
42,14990.860698470417,0.1
43,29303.675692590175,0.1
44,12790.744574083892,0.1
45,15306.713572863617,0.1
46,23404.39995845208,0.1
47,16980.086829595377,0.1
48,13995.45506445713,0.1
49,14680.83395537058,0.1
50,14418.242392722743,0.1
51,16220.81691825296,0.1
52,15430.941438783879,0.1
52,12935.748438221257,0.1
53,14802.269191702251,0.1
54,15984.535892775248,0.1
55,11522.516041519464,0.1
56,17629.874289550102,0.1
57,16845.994853695043,0.1
58,14724.647106205279,0.1
59,28776.377545246032,0.1
60,13574.806115906034,0.1
61,13757.227532802446,0.1
62,13416.220313702908,0.1
63,11734.707702560841,0.1
64,13287.688339912804,0.1
65,12579.968290126497,0.1
66,32282.424901641127,0.1
67,14140.506958248125,0.1
68,11917.054925126013,0.1
69,11426.697122492767,0.1
70,11048.265140249527,0.1
71,11647.81858801002,0.1
72,10706.136550919253,0.1
73,17108.799259177726,0.1
74,12436.331971912048,0.1
75,12353.789254530857,0.1
76,12895.91551400615,0.1
77,16914.178946069413,0.1
78,12300.433814970744,0.1
79,14724.774191408498,0.1
80,18431.410808410143,0.1
81,13151.51019045954,0.1
82,13715.597708292955,0.1
83,11019.210888472115,0.1
84,16284.093445280532,0.1
85,15737.703470653656,0.1
86,11915.38068753443,0.1
86,35327.09184112286,0.1
87,35452.874310791696,0.1
88,15859.7989461336,0.1
89,14310.319710015077,0.1
90,28069.148895194085,0.1
91,33116.57418627647,0.1
92,27468.334885437012,0.1
93,13077.336784392059,0.1
94,34047.65903858572,0.1
95,13382.709556351589,0.1
96,14836.412232444784,0.1
97,14454.184037932251,0.1
98,13842.60667332231,0.1
99,14960.132187066907,0.1
100,22770.50493384341,0.1
101,15898.513554392586,0.1
102,16136.971339961538,0.1
103,22437.467622770935,0.1
104,13272.213206510185,0.1
105,14616.327931453932,0.1
106,27680.061472260677,0.1
107,17421.958455538406,0.1
108,14312.384739509593,0.1
109,11980.682583461428,0.1
110,15893.68950699929,0.1
111,15084.145486160814,0.1
112,13794.943370341662,0.1
113,11822.846087747117,0.1
114,15648.962351402828,0.1
115,15036.866477237125,0.1
116,11268.206831932865,0.1
117,37872.788388824774,0.1
118,22928.435975562064,0.1
119,12749.208466182405,0.1
120,16270.651495006412,0.1
121,22741.071035465575,0.1
122,12998.07785401307,0.1
123,13703.591423778656,0.1
