Episode,Total Reward,Epsilon
0,3435.735189841418,0.13430341619274755
1,192.565256480853,0.10000000000005965
2,238.3568040688114,0.10000000000000012
3,2148.7735088336026,0.10000000000000009
4,186.7028783522112,0.10000000000000006
5,188.9171322050172,0.10000000000000005
6,205.12806264664363,0.10000000000000003
7,251.0676321812599,0.10000000000000002
8,255.4004600977845,0.10000000000000002
9,236.01950397699989,0.10000000000000002
10,293.3790347483344,0.10000000000000002
11,482.74525262606306,0.1
12,319.1414647268766,0.1
13,373.93059894346743,0.1
14,385.5230861849352,0.1
14,1095.2722068643593,0.1
15,956.2587580289257,0.1
16,483.8322164651455,0.1
17,788.3834053908341,0.1
18,635.0274395063641,0.1
19,4522.812084193615,0.1
20,4153.503341801868,0.1
21,3506.8447171783746,0.1
22,2417.486729829413,0.1
23,3985.3738181377385,0.1
24,3132.979541459505,0.1
25,3092.1584546103018,0.1
26,2665.0217432803092,0.1
27,15178.415310978058,0.1
28,11728.506851300965,0.1
29,3081.7228927278966,0.1
30,4266.396191779289,0.1
31,14678.370938484524,0.1
32,9128.77639881816,0.1
33,3126.9046063376472,0.1
34,3419.647462129942,0.1
35,3720.1950143529493,0.1
36,3001.5651329709426,0.1
37,7798.537793170094,0.1
38,596.6770938524448,0.1
39,3366.876188250209,0.1
40,9937.840073390622,0.1
41,4477.916635658037,0.1
42,4050.5469592415584,0.1
43,3264.835883689831,0.1
44,3005.4411200351897,0.1
45,3942.5173137307447,0.1
46,3693.007614829068,0.1
47,3378.5007774575784,0.1
48,3463.9000985368766,0.1
49,3852.695004423945,0.1
50,3965.4320949844696,0.1
51,1372.1507185510713,0.1
52,3518.0154314283845,0.1
53,3822.9098396454406,0.1
54,2094.3535137840977,0.1
55,1235.3468610394098,0.1
56,3225.102287133152,0.1
57,3262.406892504606,0.1
58,4195.3268021925805,0.1
59,3828.266966228946,0.1
60,1629.7731335426645,0.1
61,3387.512643462963,0.1
62,3752.2749351118573,0.1
63,3869.7694908590665,0.1
63,1813.1575311260672,0.1
64,6179.702842872915,0.1
65,12982.582097300468,0.1
65,23185.760433764364,0.1
66,12586.359294054917,0.1
67,10454.692568368182,0.1
68,8402.277752549455,0.1
69,9284.83147064543,0.1
70,19427.627224442163,0.1
71,12516.378861104207,0.1
72,9159.967660734985,0.1
73,9217.01748953195,0.1
74,8942.749639079704,0.1
75,8520.39835827981,0.1
76,13178.041066354244,0.1
77,30373.75836299386,0.1
78,19304.88151448953,0.1
79,12382.914254764206,0.1
80,19586.74480775744,0.1
81,22886.635703595617,0.1
82,10467.396096928982,0.1
83,12239.376606183281,0.1
84,15234.94102231678,0.1
85,8145.565475190894,0.1
86,9787.043577061815,0.1
87,9073.705138681764,0.1
88,9870.045655737822,0.1
89,21214.095464246027,0.1
90,18936.867226934366,0.1
91,14388.071760979836,0.1
92,9156.85109263239,0.1
93,11894.44863254062,0.1
94,11839.00480590905,0.1
95,7967.074250027551,0.1
96,11399.365717117182,0.1
97,9727.651153316156,0.1
98,11074.299200099405,0.1
99,8334.456852456608,0.1
100,8421.76422446747,0.1
101,10748.305660575086,0.1
102,12949.096476904853,0.1
103,16944.32607020835,0.1
104,9160.893876623793,0.1
105,13849.684244918717,0.1
106,9735.700192813794,0.1
107,19263.647447584674,0.1
108,11046.555196168318,0.1
109,11493.459190952439,0.1
110,8965.281815985549,0.1
111,20505.542293035018,0.1
112,10571.0757055819,0.1
113,10953.901012958806,0.1
114,10138.15879766672,0.1
115,12725.591697333,0.1
116,11732.000153470868,0.1
117,9765.294802619346,0.1
118,27688.98116371059,0.1
119,17688.942075893094,0.1
120,9616.35935500964,0.1
121,9254.461655715602,0.1
122,8823.60875293396,0.1
123,11061.005923609535,0.1
124,22979.74097928396,0.1
125,25420.860478115323,0.1
126,10053.462142217257,0.1
127,8864.718576094201,0.1
128,23308.95221028428,0.1
129,7755.3262086239665,0.1
130,14407.536178690625,0.1
131,11844.30453001892,0.1
132,12394.155521815948,0.1
133,11141.506473634314,0.1
134,12938.579202345134,0.1
135,9943.129407577271,0.1
136,10699.183572463615,0.1
137,9486.712127253477,0.1
138,19414.12822908306,0.1
139,12548.82629010412,0.1
140,11127.911503297106,0.1
141,12311.826045419046,0.1
142,11735.591668509494,0.1
142,10473.411254277713,0.1
143,12337.979537164003,0.1
144,11632.088663519922,0.1
145,10275.3926152801,0.1
146,10761.22098002284,0.1
147,10092.027816809888,0.1
148,8276.78437618983,0.1
149,11292.25551303186,0.1
150,12184.227187290986,0.1
151,15101.664730266184,0.1
152,12863.288116595479,0.1
153,9471.331559528115,0.1
154,9491.41732126863,0.1
155,11505.452969905815,0.1
156,12724.51953669277,0.1
157,8330.091960044056,0.1
158,10916.291006545353,0.1
159,12259.583547929675,0.1
160,50873.417698405116,0.1
161,9607.968460754533,0.1
162,28932.801104939135,0.1
163,13061.886197944346,0.1
164,8697.011650770753,0.1
165,25511.34699686026,0.1
165,12002.316429341545,0.1
166,13165.94178238519,0.1
167,15987.976098128074,0.1
168,13536.835167924988,0.1
169,11206.066533112107,0.1
170,12545.40315640012,0.1
171,10749.916831393,0.1
172,11106.017840980632,0.1
173,10576.088370586418,0.1
174,11436.007932391285,0.1
175,11807.981723805251,0.1
176,12131.493158753405,0.1
177,10177.645097458153,0.1
178,10653.932961629996,0.1
179,31052.02707418896,0.1
180,12829.782661280215,0.1
181,17220.506869669545,0.1
182,10709.181622465285,0.1
183,11052.56091631243,0.1
184,23670.10992868979,0.1
185,11198.434544945545,0.1
185,23249.656746190427,0.1
186,12544.352843637787,0.1
187,20937.653924923932,0.1
188,14134.297643359538,0.1
189,10261.051180682181,0.1
190,8952.600885978594,0.1
191,21929.366762627928,0.1
192,8243.075111824437,0.1
193,10325.734883473371,0.1
193,14988.903792158437,0.1
194,22469.757359087685,0.1
195,13998.542654750197,0.1
196,10957.960613396488,0.1
197,9506.481682318446,0.1
198,10120.138789286082,0.1
198,12770.071768411914,0.1
199,13204.789923268007,0.1
200,11642.508568988898,0.1
201,11801.152608371882,0.1
202,11528.012164787042,0.1
203,11134.473911558845,0.1
204,9166.56766005707,0.1
205,10251.412965702615,0.1
206,8626.633374514382,0.1
207,11461.820071443448,0.1
208,9479.686284147627,0.1
209,10571.110545590614,0.1
210,8360.268098008943,0.1
211,12293.47213404938,0.1
212,10182.592891014632,0.1
213,9737.538189643077,0.1
214,9956.10920460158,0.1
215,11136.239086430556,0.1
216,9066.593377584388,0.1
217,9118.131492639232,0.1
218,12619.96312458346,0.1
219,12399.252044457286,0.1
220,14323.963362457102,0.1
221,12149.62295795313,0.1
222,8929.19100704722,0.1
223,8870.908332143868,0.1
224,11113.790469841864,0.1
225,11337.720006937887,0.1
226,11647.987882426189,0.1
227,10980.712910404889,0.1
228,13797.771031365866,0.1
229,14521.723968362636,0.1
230,25484.83443402568,0.1
231,12608.154577889174,0.1
232,11720.347492622794,0.1
233,8733.55913801923,0.1
234,10842.860868808739,0.1
235,12780.510222210045,0.1
236,10513.903024889658,0.1
237,10716.932523301828,0.1
238,12148.777680961064,0.1
239,9663.53174089266,0.1
240,17762.894887438128,0.1
241,11879.336392254578,0.1
242,11971.59122872593,0.1
243,11500.963799470239,0.1
244,14814.236239036458,0.1
245,10180.274210791336,0.1
246,11364.292267188937,0.1
247,25558.570662359194,0.1
248,20902.395755359034,0.1
249,10657.345900553606,0.1
250,10366.455005354866,0.1
251,13267.976836664066,0.1
252,9169.636986273108,0.1
253,10809.928674771341,0.1
254,16299.219878263568,0.1
255,9444.406703717661,0.1
256,9090.872879169143,0.1
257,11518.843732462057,0.1
258,11963.692443291799,0.1
259,10338.9724986862,0.1
260,12523.378119515311,0.1
261,18146.64950764524,0.1
262,10704.367433490903,0.1
263,10132.242219399663,0.1
264,9857.300982348082,0.1
265,11554.08816627964,0.1
266,11712.950303174184,0.1
267,11221.22490372837,0.1
268,10846.775521451136,0.1
269,10971.361537784052,0.1
269,12065.343784119601,0.1
270,13999.41785754656,0.1
271,16914.419533671702,0.1
272,11296.943032607864,0.1
273,22032.77794164098,0.1
274,12310.797058784263,0.1
275,18205.32989327965,0.1
276,10921.102045988806,0.1
277,8328.958642184403,0.1
278,20533.510871697086,0.1
279,11497.515612317135,0.1
280,16279.440354391709,0.1
281,12361.359571490178,0.1
282,11985.758749248424,0.1
283,18154.874094162562,0.1
284,9616.375053227823,0.1
285,11811.201551535914,0.1
286,15236.18592616448,0.1
287,9328.837864628886,0.1
288,12243.973902733916,0.1
289,13518.110426772435,0.1
290,11407.226232983436,0.1
291,10892.975891693224,0.1
292,28384.330328269556,0.1
293,8973.661847684412,0.1
294,10900.302549958276,0.1
295,47165.402588919926,0.1
296,12275.114401226312,0.1
297,19219.13225612001,0.1
298,29894.032384295286,0.1
299,12036.957577184787,0.1
300,13591.820918971975,0.1
301,9123.14480900021,0.1
302,9729.152686472338,0.1
303,24167.2699834087,0.1
304,8517.801416154445,0.1
305,17026.24922261751,0.1
306,12413.1636712924,0.1
306,5540.842896948638,0.1
306,18017.683626174407,0.1
307,13925.800596641166,0.1
308,6001.84179654729,0.1
309,6268.951678827175,0.1
310,148601.48091288464,0.1
311,13938.468591299896,0.1
312,18676.046747754655,0.1
313,20414.487898255014,0.1
314,9898.291558900104,0.1
315,16573.418229260624,0.1
316,8805.03488301055,0.1
317,8754.781100765991,0.1
318,9848.327493678378,0.1
319,9888.887161930565,0.1
320,10084.894651175458,0.1
321,8771.053938722993,0.1
322,13367.781607755629,0.1
323,7168.371934382953,0.1
324,11597.144342449015,0.1
325,11382.610580831744,0.1
326,14368.111218160813,0.1
327,9184.081590819978,0.1
328,13095.843973237794,0.1
329,12047.963076345604,0.1
330,20838.767295632457,0.1
331,8660.784032668873,0.1
332,17999.152972859887,0.1
333,23912.296665045586,0.1
334,9010.610089876778,0.1
335,23059.085420916745,0.1
336,10802.982696333393,0.1
337,9481.3799280135,0.1
338,21817.243002119736,0.1
339,8825.121393810532,0.1
340,11269.538756913416,0.1
341,12584.755543133797,0.1
342,11351.668928134022,0.1
343,10933.876078516538,0.1
344,8512.37240275269,0.1
345,8622.439315799784,0.1
346,11721.962260458931,0.1
347,14445.650671043524,0.1
348,12187.29084498398,0.1
349,11359.02867485435,0.1
350,14487.319073490007,0.1
351,9212.555291107748,0.1
352,11799.937108056274,0.1
353,9663.484513327889,0.1
354,11280.629534255657,0.1
355,9932.728495206587,0.1
356,10669.42433228329,0.1
357,21378.70348074831,0.1
358,8354.729286521995,0.1
359,13523.378956803717,0.1
360,11116.382405861705,0.1
361,9133.424281272586,0.1
362,8517.89266526388,0.1
363,11270.500978114436,0.1
364,9242.556354147862,0.1
365,12458.943002817125,0.1
366,12635.172037762608,0.1
367,12028.739441705708,0.1
368,9913.151170230487,0.1
369,12155.367161341968,0.1
370,9661.866680948584,0.1
371,13346.819076206928,0.1
372,10650.057471655187,0.1
373,13574.422773918055,0.1
374,14171.020969381376,0.1
375,9402.033723815512,0.1
376,12146.03995210584,0.1
377,13785.638534434103,0.1
378,11207.055330061714,0.1
379,11025.849409334132,0.1
380,12506.537328981214,0.1
381,11245.592682039418,0.1
382,10660.495942941276,0.1
383,11065.564569770384,0.1
384,11824.861229406157,0.1
385,24838.21018497978,0.1
386,38496.73433239368,0.1
387,12417.559035603575,0.1
388,10244.067427001351,0.1
389,11792.390531572248,0.1
390,9774.763048663606,0.1
391,8521.814669097257,0.1
392,22822.887377978885,0.1
393,213507.63949798903,0.1
394,8130.797300144376,0.1
395,10860.994410910647,0.1
396,9739.967237382596,0.1
397,28245.723756225794,0.1
398,10388.334313981673,0.1
399,23234.10201108052,0.1
400,10034.87993034876,0.1
401,11510.785516248641,0.1
402,8641.82146857954,0.1
403,8206.973605492194,0.1
404,8117.467881121642,0.1
405,10771.600165631407,0.1
406,12477.617710396078,0.1
407,15020.613448672895,0.1
408,9090.541402503875,0.1
409,9893.196085759948,0.1
410,11083.022696582479,0.1
411,9386.002354712782,0.1
412,11256.493981706004,0.1
413,25937.175051766964,0.1
414,13073.34488227325,0.1
415,10598.12781705156,0.1
416,8707.76049427478,0.1
417,11378.527179498886,0.1
418,12937.246006164085,0.1
419,12308.006769769432,0.1
420,10542.998379356057,0.1
421,20685.879080961742,0.1
422,13796.298849898118,0.1
423,15039.923355620695,0.1
424,12093.658833483834,0.1
425,22007.549728121943,0.1
426,12880.0977565963,0.1
427,8421.636767089049,0.1
428,13275.76837798394,0.1
429,15732.312671907823,0.1
430,23953.28040197898,0.1
431,12073.940694773475,0.1
432,13351.7000342559,0.1
433,11417.626030180376,0.1
434,12251.118792374204,0.1
435,11865.679736337695,0.1
436,11060.486175799362,0.1
437,10751.063061534838,0.1
438,12235.98153625531,0.1
439,12385.899208876886,0.1
440,11337.04509481961,0.1
441,12934.343729329055,0.1
442,9549.497147552029,0.1
443,11012.52584021167,0.1
444,11172.283295005067,0.1
445,9982.239532675187,0.1
446,16718.43500199939,0.1
447,11057.12764935746,0.1
448,11070.908664614746,0.1
449,13269.555472317892,0.1
450,13138.534296726326,0.1
451,25106.57566099747,0.1
452,14095.540366502071,0.1
453,13598.424912808532,0.1
454,24408.912384116284,0.1
455,10527.141180234708,0.1
456,19616.721459861878,0.1
457,11575.219298594113,0.1
458,9072.379289888497,0.1
459,12421.277939404743,0.1
460,9677.19887186688,0.1
461,10598.08291588128,0.1
462,22092.48218243298,0.1
463,20758.480863944693,0.1
464,13190.999566915738,0.1
465,8950.951334488112,0.1
466,11289.924763443696,0.1
467,17097.156946055093,0.1
468,9304.466751995693,0.1
469,20499.10617266897,0.1
470,9951.316561246882,0.1
471,14465.707386862006,0.1
472,10272.600176918564,0.1
473,18852.502779798768,0.1
474,10829.872638442144,0.1
475,11316.995283089478,0.1
476,10820.509412622052,0.1
477,9105.23874649661,0.1
478,10964.422975944615,0.1
479,9093.809945828287,0.1
480,22060.567921657756,0.1
481,9820.70763538403,0.1
482,10768.33268215044,0.1
483,11486.190782094734,0.1
484,10346.905253744477,0.1
485,10537.399219151739,0.1
486,10844.748464308614,0.1
487,11873.46815856939,0.1
488,8572.382692376606,0.1
489,13697.673819667061,0.1
490,7746.035631134983,0.1
491,8091.344092106115,0.1
492,17926.692757920537,0.1
493,10220.682414495759,0.1
494,7607.596931153184,0.1
495,10775.206433061061,0.1
496,8159.54984891251,0.1
497,10757.953020328374,0.1
498,11734.362874103343,0.1
499,8274.471422138138,0.1
500,11428.48620132721,0.1
501,10506.812134901602,0.1
502,8636.18923709878,0.1
503,12987.484368046113,0.1
504,25302.35047183439,0.1
505,12089.533268473959,0.1
506,9915.357388965334,0.1
507,21297.852687735736,0.1
508,11529.818813480415,0.1
509,9343.472315779361,0.1
510,8621.937182494145,0.1
511,11380.894868221938,0.1
512,17318.43980655392,0.1
513,10890.121575873798,0.1
514,10126.87300867556,0.1
515,11588.592840957794,0.1
516,10819.403710567733,0.1
517,10072.388577914882,0.1
518,11652.963920472455,0.1
519,11276.39978735637,0.1
520,20823.935433430386,0.1
521,11333.76098330169,0.1
522,12701.750888219829,0.1
523,8778.195273654766,0.1
524,9609.174965324195,0.1
525,18612.8398637625,0.1
525,10280.45593035854,0.1
525,11648.484209740442,0.1
525,10155.635789021679,0.1
526,27014.098628909152,0.1
526,10017.403528042105,0.1
527,10139.555255608457,0.1
528,10034.005254725305,0.1
529,8160.5571318748325,0.1
530,7322.135465628035,0.1
530,9114.157934779754,0.1
530,15069.738301618654,0.1
531,14418.312106401205,0.1
532,8727.778785681496,0.1
532,14160.008840960561,0.1
533,8022.241682416692,0.1
534,8048.021590413124,0.1
535,8458.1612284966,0.1
535,7008.3368205239685,0.1
536,4670.776526007445,0.1
537,5763.290144233403,0.1
538,4113.241663192089,0.1
538,5366.119968050425,0.1
539,6490.978967926633,0.1
540,4914.1214058384285,0.1
541,9667.434245193663,0.1
542,5479.294972699563,0.1
